Award Date,Grant Number,Proposal Number,Grant Title,State Name,Grantee Name,Award Dollars,Program Name,Program Area Name
2016-02-12,2016-69006-24831,2015-07561,Research & Understanding: Rural Assistance for Latino Businesses (RURAL Biz),IDAHO,SAES - UNIVERSITY OF IDAHO,497975,Innovation for Rural Entrepreneurs and Communities,Agriculture and Food Research Initiative
2016-05-31,2016-67020-25320,2015-08661,Phosphorus management in forested ecosystems,IDAHO,SAES - UNIVERSITY OF IDAHO,401977,Foundational Program:  Soil Health,Agriculture and Food Research Initiative
2016-03-03,2016-67032-25012,2015-09686,Interdisciplinary Climate change Research and Extension for Building Sustainable Agroecological Systems,IDAHO,SAES - UNIVERSITY OF IDAHO,264673,Research and Extension Experiences for Undergraduates,Agriculture and Food Research Initiative
2015-09-17,2014-45300-22312,2015-09756,National Biodiesel Fuel Education Program,IDAHO,UNIVERSITY OF IDAHO,177984,Biodiesel Fuel Education Program,Other Programs
2015-09-09,2014-70006-22497,2015-09793,Extension Implemetation Program for IPM in Idaho 2014-2017,IDAHO,SAES - UNIVERSITY OF IDAHO,274300,Extension Implementation Program,Crop Protection and Pest Management
2015-09-16,2015-36100-06016,2015-11239,FFY15 Animal Health and Disease Program (AHD) for the Idaho Agricultural Experiment Station IAES,IDAHO,UNIVERSITY OF IDAHO,302,Animal Health and Disease Research Program,Animal Health Formula Program
2016-02-12,2016-46000-01200,2016-00069,2016 State of Idaho Renewable Resources Extension Act Program (RREA),IDAHO,UNIVERSITY OF IDAHO,11031,Renewable Resources Extension Act,Other Programs
2016-02-24,2016-41510-01200,2016-00176,FFY16 State of Idaho Expanded Food and Nutrition Education Program,IDAHO,UNIVERSITY OF IDAHO,73623,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2016-02-04,2016-31200-06016,2016-00218,2016 State of Idaho Multi-State Projects The Hatch Act of 1887,IDAHO,UNIVERSITY OF IDAHO,152892,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2016-02-09,2016-41100-01200,2016-00415,2016 State of Idaho Cooperative Extension Programs 1862 Land Grant Institution,IDAHO,UNIVERSITY OF IDAHO,544401,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2016-01-08,2016-41200-01200,2016-00463,2016 State of Idaho Special Needs,IDAHO,UNIVERSITY OF IDAHO,14016,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2016-03-02,2016-32100-06016,2016-00572,FFY16 McIntire Stennis Program,IDAHO,UNIVERSITY OF IDAHO,115887,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2016-01-13,2016-31100-06016,2016-01131,2016 State of Idaho Research Projects The Hatch Act of 1887,IDAHO,UNIVERSITY OF IDAHO,368149,Hatch Act of 1887,Hatch Formula Programs
2016-02-18,2016-41310-01200,2016-01231,2016 State of Idaho FERS Retirement Contributions Program,IDAHO,UNIVERSITY OF IDAHO,1617,FERS Contributions Program,Other Programs
2016-06-22,2013-41580-20800,2016-04233,USDA-NIFA Fort Hall Agricultural Extension Program,IDAHO,SAES - UNIVERSITY OF IDAHO,89939,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2016-06-22,2013-41580-20801,2016-04274,Federally Recognized Tribes Extension Program (FRTEP) Nez Perce Reservation,IDAHO,SAES - UNIVERSITY OF IDAHO,79400,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2016-07-28,2013-41580-20799,2016-04275,Federally Registered Tribes Extension Program (FRTEP) Coeur d`Alene Reservation Project,IDAHO,SAES - UNIVERSITY OF IDAHO,78900,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2016-05-14,2016-41310-01200,2016-05223,2016 State of Idaho FERS Retirement Contributions Program,IDAHO,UNIVERSITY OF IDAHO,6169,FERS Contributions Program,Other Programs
2016-08-11,2015-69004-23634,2016-05240,Risk assessment and eradication of Globodera spp. in U.S. production of Potato,IDAHO,SAES - UNIVERSITY OF IDAHO,602500,Global Food Security:  Mitigating Crop and Livestock Losses,Agriculture and Food Research Initiative
